uwwState,rptMStateKey,uwwCode,uwwName,uwwBODIncoming,uwwCODIncoming,uwwNIncoming,uwwPIncoming,uwwBODDischarge,uwwCODDischarge,uwwNDischarge,uwwPDischarge,QAflag,Remark,ReportNetEnvelopeFileId
1,EE,EEPUH0824770,Alajaama reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0370660,Aruküla,,,,,,,,, , ,60305
1,EE,EEPUH0780500,Elva reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0788050,Haage reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0570020,Haapsalu reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0596510,Haljala reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0490010,Jõgeva reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0511380,Järva-Jaani puhasti,,,,,,,,, , ,60305
1,EE,EEPUH0700040,Järvakandi,,,,,,,,, , ,60305
1,EE,EEPUH0370530,Jüri reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0591810,Kadrina,,,,,,,,, , ,60305
1,EE,EEPUH0000008,Kehra reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0370930,Keila,,,,,,,,, , ,60305
1,EE,EEPUH0370180,Keila-Joa reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0677010,Kilingi-Nõmme linna puhasti,,,,,,,,, , ,60305
1,EE,EEPUH0700030,Kohila reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0440010,Kohtla-Järve regionaalne reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0370480,Kose puhasti,,,,,,,,, , ,60305
1,EE,EEPUH0595010,Kunda,,,,,,,,, , ,60305
1,EE,EEPUH0740130,Kuressaare reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0370900,Kurtna Põhi,,,,,,,,, , ,60305
1,EE,EEPUH0390030,Kärdla Röösna reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0370090,Laulasmaa reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0370210,Loksa reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0000042,Meriküla,,,,,,,,, , ,60305
1,EE,EEPUH7840450,Muuga HPJ,,,,,,,,, , ,60305
1,EE,EEPUH0700020,Märjamaa,,,,,,,,, , ,60305
1,EE,EEPUH0441170,Narva,,,,,,,,, , ,60305
1,EE,EEPUH0821040,Otepää,,,,,,,,, , ,60305
1,EE,EEPUH0510730,Paide,,,,,,,,, , ,60305
1,EE,EEPUH0370220,Paldiski reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0490030,Põltsamaa linna reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0651180,Põlva,,,,,,,,, , ,60305
1,EE,EEPUH6250020,Pärnu Mõrra reoveepuhastusjaam,,,,,,,,, , ,60305
1,EE,EEPUH0592810,Rakvere linna reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0700010,Rapla,,,,,,,,, , ,60305
1,EE,EEPUH0651280,Räpina,,,,,,,,, , ,60305
1,EE,EEPUH0370500,Saha biotiigid,,,,,,,,, , ,60305
1,EE,EEPUH0440730,Sillamäe PS,,,,,,,,, , ,60305
1,EE,EEPUH0000199,Suurupi,,,,,,,,, , ,60305
1,EE,EEPUH7840170,Tallinna reoveepuhastusjaam,,,,,,,,, , ,60305
1,EE,EEPUH0590610,Tamsalu reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0592910,Tapa linna reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH7950010,Tartu RVP,,,,,,,,, , ,60305
1,EE,EEPUH0000093,Tõrva,,,,,,,,, , ,60305
1,EE,EEPUH0510110,Türi linna biopuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0820020,Valga linna reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0840040,"Viljandi reoveepuhasti, Kösti",,,,,,,,, , ,60305
1,EE,EEPUH0860200,Võru,,,,,,,,, , ,60305
1,EE,EEPUH0597310,Väike-Maarja reoveepuhasti,,,,,,,,, , ,60305
1,EE,EEPUH0675600,Vändra alevi reoveepuhasti,,,,,,,,, , ,60305
1,IE,IETP_D0012,Wicklow,,,,,,,,, , ,60306
1,IE,IETP_D0020,Cavan,,,,,,,,, , ,60306
1,IE,IETP_D0028,Carlow,,,,,,,,, , ,60306
1,IE,IETP_D0036,New Ross,,,,,,,,, , ,60306
1,IE,IETP_D0037,Killarney,,,,,,,,, , ,60306
1,IE,IETP_D0045,Shannon Town,,,,,,,,, , ,60306
1,IE,IETP_D0046,Courtown/Gorey,,,,,,,,, , ,60306
1,IE,IETP_D0092,Tubbercurry,,,,,,,,, , ,60306
1,IE,IETP_D0093,Collooney,,,,,,,,, , ,60306
1,IE,IETP_D0094,Ballymote,,,,,,,,, , ,60306
1,IE,IETP_D0108,Newcastle West,,,,,,,,, , ,60306
1,IE,IETP_D0001,Portlaoise,,,,,,,,, , ,60306
1,IE,IETP_D0002,Upper Liffey Valley Sewerage Scheme,,,,,,,,, , ,60306
1,IE,IETP_D0003,Athy,,,,,,,,, , ,60306
1,IE,IETP_D0004,Lower Liffey Valley Regional Sewerage Scheme,,,,,,,,, , ,60306
1,IE,IETP_D0006,Arklow and Environs,,,,,,,,, , ,60306
1,IE,IETP_D0007,Athlone,,,,,,,,, , ,60306
1,IE,IETP_D0008,Mullingar,,,,,,,,, , ,60306
1,IE,IETP_D0009,Letterkenny,,,,,,,,, , ,60306
1,IE,IETP_D0010,Greystones,,,,,,,,, , ,60306
1,IE,IETP_D0011,Killybegs,,,,,,,,, , ,60306
1,IE,IETP_D0013,Limerick,,,,,,,,, , ,60306
1,IE,IETP_D0014,Sligo,,,,,,,,, , ,60306
1,IE,IETP_D0015,Tramore,,,,,,,,, , ,60306
1,IE,IETP_D0016,Ballina,,,,,,,,, , ,60306
1,IE,IETP_D0017,Dungarvan,,,,,,,,, , ,60306
1,IE,IETP_D0018,Kilkenny City and Environs,,,,,,,,, , ,60306
1,IE,IETP_D0019,Castletroy,,,,,,,,, , ,60306
1,IE,IETP_D0021,Malahide,,,,,,,,, , ,60306
1,IE,IETP_D0022,Waterford city,,,,,,,,, , ,60306
1,IE,IETP_D0023,Balbriggan,,,,,,,,, , ,60306
1,IE,IETP_D0024,Swords,,,,,,,,, , ,60306
1,IE,IETP_D0025,Roscrea,,,,,,,,, , ,60306
1,IE,IETP_D0026,Thurles,,,,,,,,, , ,60306
1,IE,IETP_D0027,Nenagh,,,,,,,,, , ,60306
1,IE,IETP_D0029,Enniscorthy,,,,,,,,, , ,60306
1,IE,IETP_D0030,Wexford town,,,,,,,,, , ,60306
1,IE,IETP_D0031,Tuam,,,,,,,,, , ,60306
1,IE,IETP_D0032,Ballinasloe,,,,,,,,, , ,60306
1,IE,IETP_D0033,Cork city,,,,,,,,, , ,60306
1,IE,IETP_D0034,Ringsend,,,,,,,,, , ,60306
1,IE,IETP_D0035,Clonmel,,,,,,,,, , ,60306
1,IE,IETP_D0038,Shanganagh,,,,,,,,, , ,60306
1,IE,IETP_D0039,Tullamore,,,,,,,,, , ,60306
1,IE,IETP_D0040,Tralee,,,,,,,,, , ,60306
1,IE,IETP_D0041,Drogheda,,,,,,,,, , ,60306
1,IE,IETP_D0042,Monksland,,,,,,,,, , ,60306
1,IE,IETP_D0043,Blarney,,,,,,,,, , ,60306
1,IE,IETP_D0044,Carrigtwohill and Environs,,,,,,,,, , ,60306
1,IE,IETP_D0047,Castlebar,,,,,,,,, , ,60306
1,IE,IETP_D0048,Ennis North,,,,,,,,, , ,60306
